"lat","lon","Name","SARPID","Source","SourceID","Snapped","NHDPlusID","River","StreamSizeClass","FlowsToOcean","NIDID","NIDFederalID","PartnerID","Estimated","AnnualVelocity","AnnualFlow","TotDASqKm","YearCompleted","FERCRegulated","StateRegulated","NRCSDam","FedRegulatoryAgency","WaterRight","IsPriority","Height","Length","Width","Hazard","Construction","Purpose","Passability","FishScreen","ScreenType","Feasibility","Recon","Diversion","LowheadDam","StorageVolume","WaterbodyAcres","Fatality","RelicensingYear","Removed","YearRemoved","YearSurveyed","Condition","PassageFacility","TESpp","StateSGCNSpp","RegionalSGCNSpp","Trout","DiadromousHabitat","OwnerType","BarrierOwnerType","ProtectedLand","SourceLink","EJTract","EJTribal","NativeTerritories","Resilience","BrookTroutPortfolio","WildScenicRiver","Wilderness","FishHabitatPartnership","Basin","Subbasin","Subwatershed","HUC2","HUC6","HUC8","HUC10","HUC12","State","County","CongressionalDistrict","Excluded","Invasive","OnLoop","HasNetwork","Ranked","Intermittent","Canal","StreamOrder","Landcover","SizeClasses","PerennialSizeClasses","MainstemSizeClasses","UpstreamBarrierSARPID","UpstreamBarrier","UpstreamBarrierMiles","DownstreamBarrierSARPID","DownstreamBarrier","DownstreamBarrierMiles","TotalUpstreamMiles","PerennialUpstreamMiles","IntermittentUpstreamMiles","AlteredUpstreamMiles","UnalteredUpstreamMiles","PercentUnaltered","PerennialUnalteredUpstreamMiles","PercentPerennialUnaltered","ResilientUpstreamMiles","PercentResilient","UpstreamDrainageAcres","UnalteredWaterbodyAcres","UnalteredWetlandAcres","HasUpstreamEJTract","HasUpstreamEJTribal","TotalDownstreamMiles","FreeDownstreamMiles","FreePerennialDownstreamMiles","FreeIntermittentDownstreamMiles","FreeAlteredDownstreamMiles","FreeUnalteredDownstreamMiles","FreeResilientDownstreamMiles","GainMiles","PerennialGainMiles","FunctionalNetworkMiles","PerennialFunctionalNetworkMiles","TotalMainstemUpstreamMiles","PerennialMainstemUpstreamMiles","IntermittentMainstemUpstreamMiles","AlteredMainstemUpstreamMiles","UnalteredMainstemUpstreamMiles","PerennialUnalteredMainstemUpstreamMiles","PercentMainstemUnaltered","MainstemUpstreamImpairment","TotalMainstemDownstreamMiles","FreeMainstemDownstreamMiles","FreePerennialMainstemDownstreamMiles","FreeIntermittentMainstemDownstreamMiles","FreeAlteredMainstemDownstreamMiles","FreeUnalteredMainstemDownstreamMiles","MainstemDownstreamImpairment","MainstemGainMiles","PerennialMainstemGainMiles","MainstemNetworkMiles","PerennialMainstemNetworkMiles","FreeLinearDownstreamMiles","FreePerennialLinearDownstreamMiles","FreeIntermittentLinearDownstreamMiles","FreeAlteredLinearDownstreamMiles","FreeUnalteredLinearDownstreamMiles","HasLinearDownstreamEJTract","HasLinearDownstreamEJTribal","UpstreamWaterfalls","UpstreamDams","UpstreamSmallBarriers","UpstreamRoadCrossings","UpstreamHeadwaters","TotalUpstreamRoadCrossings","TotalUpstreamDams","TotalDownstreamWaterfalls","TotalDownstreamDams","TotalDownstreamSmallBarriers","MilesToOutlet","InvasiveNetwork","EasternBrookTroutHabitatUpstreamMiles","FreeEasternBrookTroutHabitatDownstreamMiles","State_NC_tier","State_WC_tier","State_NCWC_tier","State_PNC_tier","State_PWC_tier","State_PNCWC_tier","State_MNC_tier","State_MWC_tier","State_MNCWC_tier","HUC8_NC_tier","HUC8_WC_tier","HUC8_NCWC_tier","HUC8_PNC_tier","HUC8_PWC_tier","HUC8_PNCWC_tier","HUC8_MNC_tier","HUC8_MWC_tier","HUC8_MNCWC_tier","URL"
39.547073,-75.07367,"Willow Grove Dam","NJ10042","NID March19 2023","NJ00040",true,1.0000200516668e+13,"Maurice River","2","yes","NJ00040","NJ00040","NJ_NJ00040","no",1.1318343,111.72923,201.9486,0,"Unknown","Yes","No","","Unknown","not identified as a priority by resource managers",10,1500,0,"Significant","Earthfill (Gravel, Sand, Silt, Clay)","Other","Unknown","Unknown","Unknown","Not assessed","Not yet evaluated","Unknown","No",512,-1,0,0,"no",0,0,"Fair","Unknown or none",0,1,0,"not recorded","not located on a reach associated with anadromous / catadromous species habitat","Other private conservation land","Private","no","","no","no","Lenapehoking (Lenni-Lenape)","Slightly below average","Not assessed / not a brook trout population","","no","Atlantic Coastal Fish Habitat Partnership","Lower Delaware","Cohansey-Maurice","Burnt Mill Branch-Maurice River","02","020402","02040206","0204020604","020402060405","New Jersey","Cumberland","NJ02","no","no","no","yes","yes","stream is not likely intermittent / ephemeral","stream is not identified by NHD as a canal/ditch",5,99,0,0,0,"NJ93384","dam",0.255,"NJ93297","dam",5.65,0.255,0.255,0,0,0.255,100,0.255,100,0,0,23.351,0,6.156,"no","no",19.746,19.746,19.746,0,1.235,18.511,0,0.255,0.255,20.001,20.001,0.255,0.255,0,0,0.255,0.255,100,"",5.65,5.65,5.65,0,0,5.65,"",0.255,0.255,5.906,5.906,5.65,5.65,0,0,5.65,"no","no",0,1,0,0,0,93,9,0,2,1,37.727,"no",0,0,18,6,12,17,6,12,15,5,10,18,5,12,18,5,12,14,6,9,"https://tool.aquaticbarriers.org/report/dams/NJ10042"
40.998222,-74.16458,"Rambaut Dam","NJ10151","NID March19 2023","NJ00234",true,1.0000100001382e+13,"Goffel Brook","1a","yes","NJ00234","NJ00234","NJ_NJ00234","no",-1,2.975883,4.2863,1908,"Unknown","Yes","No","","Unknown","not identified as a priority by resource managers",11,90,0,"Low","Cement","Recreation","Unknown","Unknown","Unknown","Possibly feasible","Not yet evaluated","Unknown","Unknown",60,7.0188565,0,0,"no",0,0,"Poor","Unknown or none",0,1,0,"not recorded","not located on a reach associated with anadromous / catadromous species habitat","","Private","no","","no","no","Mohican, Munsee Lenape","Below average","Not assessed / not a brook trout population","","no","Atlantic Coastal Fish Habitat Partnership, Eastern Brook Trout Joint Venture","Lower Hudson","Hackensack-Passaic","Peckman River-Passaic River","02","020301","02030103","0203010308","020301030802","New Jersey","Bergen","NJ05","no","no","no","yes","yes","stream is not likely intermittent / ephemeral","stream is not identified by NHD as a canal/ditch",2,37,0,0,0,"","",0,"NJ92131","dam",1.169,2.244,2.244,0,0.298,1.946,87,1.946,87,0,0,1072.312,4.308,16.749,"no","no",3.222,3.109,3.109,0,0.111,2.997,0,2.244,2.244,5.353,5.353,0.747,0.747,0,0.24,0.507,0.507,68,"b",0.392,0.392,0.392,0,0,0.392,"b",0.392,0.392,1.139,1.139,1.06,1.06,0,0,1.06,"no","no",0,0,0,10,3,10,0,0,4,0,48.508,"no",0,0,8,11,9,8,11,9,13,12,12,5,10,8,5,10,8,11,13,12,"https://tool.aquaticbarriers.org/report/dams/NJ10151"
41.177326,-74.824844,"Deer Lake Dam","NJ10221","NID March19 2023","NJ00983",true,1.0000200524374e+13,"Flat Brook-Tr","1a","yes","NJ00983","NJ00983","NJ_21-93","no",-1,0.421852,0.5395,0,"Unknown","Yes","No","","Unknown","not identified as a priority by resource managers",14,390,0,"Low","Earthfill (Gravel, Sand, Silt, Clay)","Recreation","Unknown","Unknown","Unknown","Not assessed","Not yet evaluated","Unknown","Unknown",33,6.535031,0,0,"no",0,0,"Satisfactory","Unknown or none",0,0,0,"Salvelinus fontinalis","not located on a reach associated with anadromous / catadromous species habitat","","Private","no","","no","no","Mohican, Munsee Lenape","Above average","Not assessed / not a brook trout population","","no","Atlantic Coastal Fish Habitat Partnership, Eastern Brook Trout Joint Venture","Upper Delaware","Middle Delaware-Mongaup-Brodhead","Big Flat Brook","02","020401","02040104","0204010410","020401041002","New Jersey","Sussex","NJ05","no","no","no","yes","yes","stream is not likely intermittent / ephemeral","stream is not identified by NHD as a canal/ditch",1,83,0,0,0,"","",0,"NJ76505","dam",1.045,0.167,0.167,0,0.167,0,0,0,0,0.167,100,133.313,0,0,"no","no",1.984,1.09,1.09,0,0,1.09,1.09,0.167,0.167,1.257,1.257,0,0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0.273,0.273,0,0,0.273,"no","no",0,0,0,0,1,0,0,0,3,1,164.121,"no",0,0,18,14,16,18,14,16,20,14,17,18,15,16,17,15,16,20,16,18,"https://tool.aquaticbarriers.org/report/dams/NJ10221"
39.4929,-75.34085,"Mickels Mill Dam","NJ10315","NID March19 2023","NJ00074",true,1.0000200546218e+13,"Horse Run","1a","yes","NJ00074","NJ00074","NJ_NJ00074","no",-1,2.853033,5.6155,1928,"Unknown","Yes","No","","Unknown","not identified as a priority by resource managers",10,100,0,"Low","Earthfill (Gravel, Sand, Silt, Clay)","Recreation","Unknown","Unknown","Unknown","Not assessed","Not yet evaluated","Unknown","Unknown",66,8.6684265,0,0,"no",0,0,"Unknown","Unknown or none",0,0,0,"not recorded","not located on a reach associated with anadromous / catadromous species habitat","Private easement","Private","no","","no","no","Lenapehoking (Lenni-Lenape)","Average","Not assessed / not a brook trout population","","no","Atlantic Coastal Fish Habitat Partnership","Lower Delaware","Cohansey-Maurice","Sarah Run-Stow Creek","02","020402","02040206","0204020606","020402060601","New Jersey","Salem","NJ02","no","no","no","yes","yes","stream is not likely intermittent / ephemeral","stream is not identified by NHD as a canal/ditch",3,74,0,0,0,"","",0,"","",0,5.143,5.036,0.107,0.365,4.778,93,4.671,93,0,0,1398.342,3.327,81.314,"no","no",129.782,129.584,129.38,0.204,0.945,128.639,7.845,5.143,5.036,134.726,134.416,0.21,0.21,0,0.21,0,0,0,"b",0.2,0.2,0.2,0,0,0.2,"b",0.2,0.2,0.41,0.41,16.149,16.149,0,0,16.149,"no","no",0,0,2,3,6,3,0,0,0,0,16.347,"no",0,0,4,8,6,4,8,6,16,15,15,5,9,7,5,9,7,16,16,16,"https://tool.aquaticbarriers.org/report/dams/NJ10315"
39.70811,-74.26757,"Oxycocus East Dike #1","NJ10316","NID March19 2023","NJ01030",true,1.0000200579064e+13,"Fourmile Branch","1b","yes","NJ01030","NJ01030","","no",0.8172449,12.52479,21.242,1880,"Unknown","No","No","US Fish and Wildlife Service","Unknown","not identified as a priority by resource managers",12,575,0,"Low","Earthfill (Gravel, Sand, Silt, Clay)","Aquatic Resource Management","Unknown","Unknown","Unknown","Not assessed","Not yet evaluated","Unknown","Unknown",79,-1,0,0,"no",0,0,"Unknown","Unknown or none",0,0,0,"not recorded","not located on a reach associated with anadromous / catadromous species habitat","US Fish and Wildlife Service","Federal","yes","","no","no","Lenapehoking (Lenni-Lenape)","Slightly below average","Not assessed / not a brook trout population","","no","Atlantic Coastal Fish Habitat Partnership","Mid Atlantic Coastal","Mullica-Toms","Mill Creek-Manahawkin Bay","02","020403","02040301","0204030107","020403010701","New Jersey","Ocean","NJ02","no","no","no","yes","yes","stream is not likely intermittent / ephemeral","stream is not identified by NHD as a canal/ditch",3,68,1,1,0,"NJ79192","dam",1.89,"NJ57186","dam",0.982,4.324,1.148,3.176,0.195,4.129,95,0.953,83,0,0,1927.122,6.236,109.087,"no","no",20.228,19.242,10.729,8.513,0.127,19.115,0,4.324,1.148,23.566,11.877,1.89,0.637,1.253,0.023,1.867,0.614,99,"b",0.279,0.193,0.193,0,0,0.193,"b",0.193,0.193,2.084,0.83,0.193,0.193,0,0,0.193,"no","no",0,1,0,3,4,19,2,0,1,1,5.69,"no",0,0,5,6,5,11,7,9,16,8,12,5,7,6,9,8,8,14,8,11,"https://tool.aquaticbarriers.org/report/dams/NJ10316"
41.01448,-74.129974,"Whites Pond Dam","NJ10317","NID March19 2023","NJ00233",true,1.0000100014887e+13,"Hohokus Brook","1b","yes","NJ00233","NJ00233","NJ_NJ00233","no",-1,27.09239,38.6734,1938,"Unknown","Yes","No","","Unknown","not identified as a priority by resource managers",11,250,0,"Low","Earthfill (Gravel, Sand, Silt, Clay)","Recreation","Unknown","Unknown","Unknown","Not assessed","Not yet evaluated","Unknown","Unknown",57,7.3824277,0,0,"no",0,0,"Fair","Unknown or none",0,0,0,"not recorded","not located on a reach associated with anadromous / catadromous species habitat","Joint Ownership or Regional land","Local government","yes","","no","no","Mohican, Munsee Lenape","Below average","Not assessed / not a brook trout population","","no","Atlantic Coastal Fish Habitat Partnership, Eastern Brook Trout Joint Venture","Lower Hudson","Hackensack-Passaic","Hohokus Brook","02","020301","02030103","0203010307","020301030701","New Jersey","Bergen","NJ05","no","no","no","yes","yes","stream is not likely intermittent / ephemeral","stream is not identified by NHD as a canal/ditch",4,39,1,1,0,"NJ92148","dam",1.198,"NJ93292","dam",0.777,8.421,8.421,0,1.203,7.217,86,7.217,86,0,0,2035.997,1.997,39.43,"no","no",1.264,1.262,1.262,0,0.31,0.952,0,1.262,1.262,9.683,9.683,1.198,1.198,0,0.218,0.98,0.98,82,"b",0.777,0.775,0.775,0,0.31,0.466,"b",0.775,0.775,1.973,1.973,0.775,0.775,0,0.31,0.466,"no","no",0,3,0,22,13,93,14,0,4,0,48.703,"no",0,0,11,9,10,11,9,10,8,11,9,8,8,8,8,8,8,6,12,9,"https://tool.aquaticbarriers.org/report/dams/NJ10317"
40.35276,-74.08501,"Shadow Lake Dam","NJ10508","NID March19 2023","NJ00090",true,1.0000100051014e+13,"Quioley Creek","1b","yes","NJ00090","NJ00090","NJ_NJ00090","no",-1,11.343099,17.7091,1931,"Unknown","Yes","No","","Unknown","not identified as a priority by resource managers",16,600,0,"Significant","Earthfill (Gravel, Sand, Silt, Clay)","Recreation","Unknown","Unknown","Unknown","Possibly feasible","Not yet evaluated","Unknown","Unknown",310,84.02784,0,0,"no",0,0,"Poor","Unknown or none",0,0,0,"not recorded","not located on a reach associated with anadromous / catadromous species habitat","","Local government","no","","no","no","Lenapehoking (Lenni-Lenape)","Average","Not assessed / not a brook trout population","","no","Atlantic Coastal Fish Habitat Partnership","Lower Hudson","Sandy Hook-Staten Island","Swimming River","02","020301","02030104","0203010403","020301040302","New Jersey","Monmouth","NJ04","no","no","no","yes","yes","stream is not likely intermittent / ephemeral","stream is not identified by NHD as a canal/ditch",3,58,1,1,1,"NJ93050","dam",3.846,"","",0,15.218,15.218,0,4.171,11.047,73,11.047,73,0,0,4351,1.28,139.255,"no","no",96.058,96.048,95.74,0.307,7.484,88.564,0,15.218,15.218,111.266,110.958,3.179,3.179,0,1.31,1.869,1.869,59,"b",0.314,0.304,0.304,0,0,0.304,"b,o",0.304,0.304,3.483,3.483,7.569,7.569,0,0,7.569,"no","no",0,1,0,47,16,48,1,0,0,0,7.58,"no",0,0,2,8,5,2,8,5,14,8,11,1,8,5,1,8,5,13,5,8,"https://tool.aquaticbarriers.org/report/dams/NJ10508"
40.768818,-74.680664,"Peapack-Gladstone Res Dam","NJ10655","NID March19 2023","NJ00849",true,1.0000100018643e+13,"Peapack Brook","1a","yes","NJ00849","NJ00849","NJ_NJ00849","no",0.85394096,2.56356,3.1393,0,"Unknown","Yes","No","","Unknown","not identified as a priority by resource managers",26,435,0,"Low","Earthfill (Gravel, Sand, Silt, Clay)","Water Supply","Unknown","Unknown","Unknown","Not assessed","Not yet evaluated","Unknown","Unknown",61,-1,0,0,"no",0,0,"Poor","Unknown or none",0,1,0,"Salvelinus fontinalis","not located on a reach associated with anadromous / catadromous species habitat","Joint Ownership or Regional land","Local government","yes","","no","no","Lenapehoking (Lenni-Lenape), Mohican, Munsee Lenape","Slightly below average","Not assessed / not a brook trout population","","no","Atlantic Coastal Fish Habitat Partnership, Eastern Brook Trout Joint Venture","Lower Hudson","Raritan","Middle North Branch Raritan River","02","020301","02030105","0203010502","020301050205","New Jersey","Morris","NJ07","no","no","no","yes","yes","stream is not likely intermittent / ephemeral","stream is not identified by NHD as a canal/ditch",4,97,0,0,0,"NJ92987","dam",1.012,"NJ92295","dam",4.415,3.202,3.202,0,0.1,3.102,97,3.102,97,0,0,539.826,0.514,16.357,"no","no",18.352,18.352,18.174,0.177,0.74,17.612,0,3.202,3.202,21.554,21.376,0.099,0.099,0,0.093,0.005,0.005,5,"b",4.415,4.415,4.415,0,0.008,4.407,"b",0.099,0.099,4.514,4.514,4.415,4.415,0,0.008,4.407,"no","no",0,1,0,0,9,0,1,0,8,0,50.644,"no",1.036,0,6,6,6,6,6,6,18,13,15,5,6,5,5,6,5,18,13,15,"https://tool.aquaticbarriers.org/report/dams/NJ10655"
40.604683,-74.89817,"New Jersey No Name #31 Dam","NJ10834","NID March19 2023","NJ00519",true,1.0000100010257e+13,"Cramers Creek","1a","yes","NJ00519","NJ00519","NJ_NJ00519","no",0.48850298,3.495496,4.8767,0,"Unknown","Yes","No","","Unknown","not identified as a priority by resource managers",23,550,0,"High","Earthfill (Gravel, Sand, Silt, Clay)","Other","Unknown","Unknown","Unknown","Not assessed","Not yet evaluated","Unknown","Unknown",40,-1,0,0,"no",0,0,"Satisfactory","Unknown or none",0,1,0,"Salvelinus fontinalis","not located on a reach associated with anadromous / catadromous species habitat","","State","no","","no","no","Lenapehoking (Lenni-Lenape)","Slightly below average","Not assessed / not a brook trout population","","no","Atlantic Coastal Fish Habitat Partnership, Eastern Brook Trout Joint Venture","Lower Hudson","Raritan","Upper South Branch Raritan River","02","020301","02030105","0203010501","020301050105","New Jersey","Hunterdon","NJ07","no","no","no","yes","yes","stream is not likely intermittent / ephemeral","stream is not identified by NHD as a canal/ditch",3,65,0,0,0,"","",0,"NJ92221","dam",7.707,5.696,5.696,0,1.702,3.994,70,3.994,70,0,0,1452.483,1.218,46.482,"no","no",58.514,58.514,57.592,0.923,1.74,56.774,0,5.696,5.696,64.21,63.287,1.873,1.873,0,0.935,0.938,0.938,50,"t",0.758,0.758,0.758,0,0.014,0.743,"t",0.758,0.758,2.63,2.63,7.707,7.707,0,0.014,7.692,"no","no",0,0,3,1,12,1,0,0,6,1,52.007,"no",0,0,4,10,7,4,10,7,8,12,9,4,11,7,4,11,7,8,14,11,"https://tool.aquaticbarriers.org/report/dams/NJ10834"
40.92549,-75.02028,"Lake Barylick Dam","NJ11370","NID March19 2023","NJ00668",true,1.0000200485107e+13,"Honey Run Beaver Brook","1a","yes","NJ00668","NJ00668","NJ_NJ00668","no",-1,0.339065,0.45900002,1965,"Unknown","Yes","No","","Unknown","not identified as a priority by resource managers",25,450,0,"Low","Earthfill (Gravel, Sand, Silt, Clay)","Recreation","Unknown","Unknown","Unknown","Not assessed","Not yet evaluated","Unknown","Unknown",75,9.339671,0,0,"no",0,0,"Unknown","Unknown or none",0,0,0,"not recorded","not located on a reach associated with anadromous / catadromous species habitat","","Private","no","","no","no","Lenapehoking (Lenni-Lenape), Mohican, Munsee Lenape","Average","Not assessed / not a brook trout population","","no","Atlantic Coastal Fish Habitat Partnership, Eastern Brook Trout Joint Venture","Upper Delaware","Middle Delaware-Musconetcong","Beaver Brook","02","020401","02040105","0204010502","020401050203","New Jersey","Warren","NJ07","no","no","no","yes","yes","stream is not likely intermittent / ephemeral","stream is not identified by NHD as a canal/ditch",1,86,0,0,0,"","",0,"NJ92243","dam",0.364,0.253,0.253,0,0.252,0.002,1,0.002,1,0,0,113.421,0,0,"no","no",0.364,0.223,0.223,0,0,0.223,0,0.223,0.223,0.476,0.476,0,0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0.223,0.223,0,0,0.223,"no","no",0,0,0,0,1,0,0,0,5,0,137.212,"no",0,0,18,14,16,18,14,16,20,14,17,17,14,15,17,14,15,20,15,18,"https://tool.aquaticbarriers.org/report/dams/NJ11370"
